Modulbezeichnung:,engl. Modulbezeichnung:,Anbietende Fakultät:,Hinweise:,ggf. Modulniveau:,Kürzel:,ggf. Untertitel:,ggf. Lehrveranstaltungen:,Studiensemester:,Semesterlage:,Modulverantwortliche(r):,Dozent(in):,Sprache:,Zuordnung zum Curriculum:,Lehrform / SWS:,Arbeitsaufwand:,Kreditpunkte:,Voraussetzungen nach Prüfungsordnung:,Empfohlene Voraussetzungen:,Angestrebte Lernergebnisse:,Inhalt:,Studien-/ Prüfungsleistungen:,Medienformen:,Literatur:
Elektrische Antriebe I (Elektrische Antriebssysteme I),Electrical drives 1,FEIT,,,,,,B.Sc. ab 5. Semester,,Professur für Elektrische Antriebe,Prof. Dr.-Ing. habil. Frank Palis,deutsch,FIN: B.Sc. INGINF - Ingenieurbereich Vertiefungen - Elektrotechnik,Vorlesung; Übung; Praktikum,Präsenzzeiten: Wintersemester 2 SWS Vorlesung 1 SWS Übung Sommersemester 1 SWS Praktikum Selbstständiges Arbeiten: Übungsvorbereitung 150 h = 4 SWS = 56 h Präsenzzeit + 94 h Selbstständiges Arbeiten,5,,"Grundkenntnisse in Elektrischen Maschinen und Aktoren, Leistungselektronik, Steuerungs- und Regelungstechnik","Lernziele und zu erwerbende Kompetenzen: Auswahl der Struktur elektrischer Antriebssysteme entsprechenden Anforderungen der Arbeitsmaschinen und technologischen Prozesse mit dem Ziel des optimalen Energieeinsatzes sowie Dimensionierung der erforderlichen Baugruppe Realisierung von Bewegungsvorgängen in Maschinen und Anlagen entsprechend den energetischen, technologischen und automatisierungstechnischen Anforderungen ","Aufgaben und Struktur eines elektrischen Antriebssystems, Kenngrößen von Bewegungsvorgängen, Mechanik des Antriebssystems (Bewegungsgleichung und Be-schreibung der Bewegungsgrößen), typische Widerstandsmomenten- Kennlinien von Arbeitsmaschinen, Anlauf und Bremsung eines Antriebssystems, stabiler Arbeitspunkt, das mechanische Übertragungssystem), stationäres und dynamisches Verhalten von ausgewählten elektrischen Maschinen (Gleichstrom- Nebenschlussmaschinen, Asynchronmaschinen mit Schleifring- und Kurzschlussläufer, Synchron-maschinen), Strukturen binär gesteuerter Antriebssysteme mit Asynchronma-schinen für Anlauf, Bremsung und Drehzahlstellung, Regelstrukturen drehzahl- und lagegeregelter elektrischer Antriebssysteme","L   eistungen: Pflichtteilnahme an den Übungen, erfolgreiche Durchführung des Laborpraktikums (Testat) Prüfung: schriftlich (90 min)",,"U. Riefenstahl: Elektrische Antriebssysteme, B.G.Teubner Verlag Stuttgart, Leipzig 2000, 2006 D. Schröder: Elektrische Antriebe, Bd.1-4, Springer-Verlag, Berlin, Heidelberg, 1994, 2001 W. Leonhard: Control of Electrical Drives. Springer-Verlag, Berlin, Heidelberg, New York,1996"
Elektrische Antriebe II,Elektrische Antriebe II,FEIT,,,,,,M.Sc. ab 1. Semester,,Prof. Dr.-Ing. habil. Frank Palis (FEIT-IESY),Prof. Dr.-Ing. habil. Frank Palis (FEIT-IESY),deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung,"3SWS = 150h (42h Präsenzzeit + 108h selbständige Arbeit) Präsenzzeiten: wöchentliche Vorlesungen 2 SWS, wöchentliche Übungen 1 SWS, selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösen der Übungsaufgaben",5,,E   lektrische Maschinen Elektrische Antriebe I Regelungstechnik,Lernziele und zu erwerbende Kompetenzen Vermittlung von grundlegenden Kenntnissen zum Systemverhalten und zur Anwendung elektrischer Antriebe Vermittlung von Fähigkeiten zur Integration von elektrischen Antrieben in komplexen mechanischen Systemen,Auswahl elektrischer MaschinenBestimmung der Typenleistung elektrischer Maschinen Motorschutz Leistungselektronischer Stellglieder für elektrische Antriebe Leistungselektronischer Stellglieder für Gleichstromantriebe Stromrichtergespeiste Gleichstromantriebe Stromrichtergespeiste Drehstromantriebe ,Prüfung: mündliche Prüfung,,
Elektrische Energienetze II - Energieversorgung,Elektrische Energienetze II - Energieversorgung,FEIT,,,,,,M.Sc. ab 1. Semester,,Prof. Dr.-Ing. habil. Zbigniew Antoni Styczynski (FEIT-IESY),Prof. Dr.-Ing. habil. Zbigniew Antoni Styczynski (FEIT-IESY),deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung,"3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit) Präsenzzeiten: wöchentliche Vorlesung 2 SWS, wöchentliche Übungen 1 SWS, Selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösung der Übungsaufgaben und Prüfungsvorbereitung",5,,"Regelungstechnik, Steuerungstechnik, Ereignisdiskrete Systeme","Lernziele und erworbene Kompetenzen: Vermittlung vertiefender Kenntnisse im Bereich der Energieübertragung und –verteilung Vermittlung von vertiefenden Kenntnissen über Netzplanung, Netzbetrieb, Netzregelung und Netzdienstleistungen Aneignung von Spezialwissen zu Problemen der Netzbeobachtung, zur Netzsicherheit, zur Black-Out-Prevention und zur Netzintegration von denzentralen Erzeugern.","Netzplanung und NetzbetriebNetzregelung, Parallelbetrieb von Generatoren Netzdienstleistungen Netzbeobachtung durch synchrone Messungen Dynamic Security Assessment Black-Out-Prevention Windparkmodellierung und Modellreduktion Organisation der Energiewirtschaft Bilanzkreise und Übertragungsnetzbetrieb Kostenrechnung in der Energiewirtschaft Zuverlässigkeitsrechnung im Energienetz",Mündliche Prüfung,,
Embedded Bildverarbeitung,Embedded Bildverarbeitung,FEIT,,,,,,B.Sc. ab 5. Semester,,Professur für Technische Informatik,Professur für Technische Informatik,deutsch,FIN: M.Sc. CV - Bereich Anwendungen / Geisteswissenschaftliche Grundlagen FIN: M.Sc. INGINF - Bereich Ingenieurinformatik,Vorlesung; Übung,Präsenzzeiten: 2 SWS Vorlesung 2 SWS Übung Selbstständiges Arbeiten: Übungsvorbereitung 150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit,5,,"Hardwarenahe Rechnerarchitektur, Bildverarbeitung",Lernziele & zu erwerbende Kompetenzen: Die Vorlesung vermittelt Kenntnisse über eingebettete Lösungen der Bildverarbeitung und hat einen engen Bezug zur entsprechenden Hard- und Software sowie Algorithmen der Bildverarbeitung. Es sollen Kompetenzen zur Entwicklung und zum Einsatz solcher Embedded Systems vermittelt werden.,Informationsfluss in einem Bildverarbeitungssystem Kompakte Syteme Spezielle Hardware Signalprozessoren SIMD- Rechner auf einem Chip Hardware/ Software Codesign Anwendungen Kameras mit integriertem Kontroller Stereokopf Robotik Fahrerassistenzsysteme (Beispiele) Algorithmen und ihre Modifikation für die Anwendungen Kalman- Filter und Sensorfusion mit weiteren Größen Anwendungsperspektiven,Prüfung: mündlich,,siehe Script
English TopUp BiBa,English TopUp BiBa,extern,,,Engl-TopUp,,,B.Sc. ab 1. Semester,"Start jedes Wintersemester, über 4 Semester hinweg",Dr. Claudia Krull,Sprachenzentrum,englisch,FIN: B.Sc. BiBa Inf,Vorlesung; Übung; Seminar,"8 SWS über 4 Semester verteilt, je 2 SWS pro Semester",8-10 CP (je nachdem ob extra Leistungen erbracht werden),,,Auffrischung der Englischkenntnisse ausgehend von B2 Abiturniveau mit Fokus auf akademisch Softskills und Fachsprache,"communicaKommunikation Cultural Studies,  Media Literacy Critical Thinking Presentation Skills",teilweise benotet,,
Entdecken häufiger Muster,Frequent Pattern Mining,FIN,,,FPM,,,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester,,PD Dr.-Ing habil. Christian Borgelt,PD Dr.-Ing habil. Christian Borgelt,englisch,"FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE (alt) - Bereich Methods I FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik Für Freigabe / Zuordnung zu Curricula von interdisziplinären Studiengängen und von Studiengängen außerhalb der FIN, s. Studiums-dokumente des jeweiligen Studiengangs",Vorlesung; Übung; Blockveranstaltung,Präsenzzeiten: 2 SWS Vorlesung + 2 SWS Übung Selbstständiges Arbeiten: Vor- und Nachbearbeitung der Vorlesung Entwicklung von Lösungen für die Übungsaufgaben Vorbereitung für die Abschlussprüfung180h = 4 SWS = 40h Präsenzzeit + 140h selbständige Arbeit,6,,Algorithmen und Datenstrukturen Grundlagen zu: Data Mining ,"Lernziele & erworbene Kompetenzen: Kenntnis der grundlegenden Algorithmenschemata sowie der Standardalgorithmen zum Finden häufiger Muster in Mengen Verständnis der notwendigen effizienten Datenstrukturen und Verarbeitungsverfahren Einsicht in die besonderen Probleme bei der Analyse strukturierter Daten (Sequenzen, Bäume, allgemeine Graphen) sowie Lösungsansätze Befähigung zur Auswahl eines geeigneten Verfahrens je nach Anwendungsproblem Befähigung zur Entwicklung spezialisierter Algorithmen zum Finden häufiger Muster Umgang mit Literatur zum Fachgebiet","Finden häufiger Teilmengen (frequent item set mining) und AssoziationsregelnFinden häufiger Teilsequenzen (für diskrete und Intervalldaten) Finden häufiger Teilbäume und -graphen Effiziente Grundalgorithmen und -datenstrukturen Vermeidung redundanter Suche bei der Analyse strukturierter Daten, speziell mit Hilfe kanonischer Formen der zu entdeckenden Muster Ansätze zur Bewertung und zum Filtern gefundener Muster Erweiterungen der Grundalgorithmen für spezielle Anwendun-gen Anwendungsbeispiele, speziell für die Entdeckung häufiger Teilgraphen",Prüfung: mündlich,,"Vorwiegend wissenschaftliche Artikel, s. FPM-Webseite"
Entwurf und Simulation von Mikrosystemen,Entwurf und Simulation von Mikrosystemen,FEIT,,,,,,M.Sc. ab 1. Semester,Sommersemester,Prof. Dr. rer. nat. Bertram Schmidt (FEIT-IMOS),Prof. Dr. rer. nat. Bertram Schmidt (FEIT-IMOS),deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung; Praktikum,"SWS = 240h (70h Präsenzzeit +170h selbständige Arbeit) Präsenzzeiten: Vorlesung 2 SWS, Übung 1 SWS, Laborpraktikum 2 SWS Selbständiges Arbeiten: Lösung der Übungsaufgaben, Praktikumsvorbereitung, Ausarbeitung Referat, Prüfungsvorbereitung",8,,P   flichtmodul Bachelor ETIT „Einführung in die Mikrosystemtech-nik“ Wahlpflichtmodul Bachelor „Diskrete Verfahren der Systemsimula-tion“ Wahlpflichtmodul Bachelor „Materialien der Elektro- und Informa-tionstechnik“,"Lernziele: Grundlegender Kenntnisse über mechanische Eigenschaften und Versagenskriterien für Mikrobauteile Kenntnisse von Simulationsverfahren (FEM, Systemsimula-tion) und CAD-Werkzeugen Erworbene Kompetenzen: Verknüpfung von Technologie, CAD-Entwurf und Simulation Umgang mit Simulations- und CAD-Werkzeugen für die Her-stellung eines Mikrobauelementes Damit werden Fertigkeiten zur Lösung konkreter Aufgabenstellungen im Bereich für Entwurf und Simulation für Mikrosysteme ent-wickelt.","Skalierungseffekte und KennzahlenMikrosystementwurf Piezoresistive Sensoren Methoden der Finiten Elemente (FEM) Systementwurf mit VHDL-AMS Design mit CAD-Werkzeugen Designregeln am Beispiel MUMPS-Prozess Mehrlagen-Justierung, Overlay","Mündliche Prüfung, Referat",,
"Entwurf, Organisation und Durchführung eines Programmierwettbewerbs","Entwurf, Organisation und Durchführung eines Programmierwettbewerbs",FIN,,,,,,B.Sc. ab 3. Semester,Wintersemester,Dr. Christian Rössl,Dr. Christian Rössl,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Softwareprojekt FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Softwareprojekt FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Softwareprojekt FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. WIF - Gestalten FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Softwareprojekt,Projekt,150 Std. selbstständiges Arbeiten,5,,Algorithmen und Datenstrukturen,"Erwerb von fortgeschrittenen Kenntnissen auf dem Gebiet der interaktiven Systeme, insbesondere ComputerspieleErwerb praktischer Erfahrungen in Entwurf und Umsetzung von Softwaresystemen, Arbeiten und Kommunikation im Team, Betreuen von ""Anwendern"", möglichst automatisierter Auswertung von Ergebnissen ","Die Teilnehmer entwerfen und organisieren den Programmierwettbewerb zur Vorlesung ""Algorithmen und Datenstrukturen"", typischerweise ist das ein Computerspiel. Dazu wird ein Szenario für den Wettbewerb entworfen, in dem von den Wettbewerbsteilnehmern (als ""Anwender"") algorithmische Aufgaben zu lösen sind. Dieses Szenario wird in einem Framework implementiert mit festgelegten Schnittstellen, beispielhaften Lösungen, Dokumentation und Anleitungen sowie der Möglichkeit zur automatischen (""Offline""-)Auswertung von Ergebnissen. Die Teilnehmer organisieren den eigentlichen Wettbewerb und die Auswertung selbständig.","Voraussetzung: Durchführung des Programmierwettbewerbs, Prüfung: Wiss. Projekt, auch als Schein möglich",,
Erziehungswissenschaft: Interaktive Medien als sozial-kulturelle Phänomene,Educational Science: Interactive media as socio-cultural phenomena,FHW,,,,,,B.Sc. ab 1. Semester,,Professur für Erziehungswissenschaftliche Medienforschung,Professur für Erziehungswissenschaftliche Medienforschung,deutsch,FIN: B.Sc. CV - Allgemeine Visualistik - Erziehungswissenschaft,Seminar,Präsenzzeiten: 2 SWS Seminar Selbstständiges Arbeiten Präsentation vorbereiten Medienprodukt oder Hausarbeit erstellen 5 x 30h (28 h Präsenzzeit + 122 h selbstständige Arbeit,5,,,"Lernziele & zu erwerbende Kompetenzen: Das Modul soll grundlegende Kenntnisse über die soziale und kulturelle Relevanz interaktiver Medien (z.B. Computerspiele) vermitteln. Auf der einen Seite sollen die Studierenden in die Lage versetzt werden, verschiedene Arten von Spiel- und Edutainmentsoftware zu analysieren und zu evaluieren. Auf der anderen Seite sollen sie Ansätze zur Erklärung der Faszination wie der möglichen Risiken des Umgangs mit ausgewählten interaktiven Medien kennen- und einschätzen lernen. Dazu gehören u.a. empirische und theoretische Analysen von sozialen und kulturellen Phänomenen im Kontext der Computerspiele (offline wie online)","Nutzung und Verbreitung interaktiver MedienSubjektive Bedeutsamkeit von interaktiven Medien und Motive der Mediennutzung Sozial-kulturelle Kontexte der Nutzung interaktiver Medien Methoden der Analyse und Bewertung interaktiver Medien Inhaltsanalysen von Video- und Computerspielen Computerspiele zwischen Faszination und Risiko Grundlagen, Chancen, Probleme des Jugendmedienschutzes Konvergenzphänomene im Bereich der (neuen) Medien","S   tudienleistungen: Präsentation, Hausarbeit oder Medienprodukt Gesamtzahl der Credits für das Modul: 5",,
Estimation for Autonomous Mobile Robots,Estimation for Autonomous Mobile Robots,FIN,,,AMR,,,M.Sc. ab 1. Semester,Wintersemester,Prof. Benjamin Noack,Prof. Benjamin Noack,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden des Digital Engineering FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Ingenieurinformatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer,Vorlesung; Übung,"Attendance time: 2 SWS Lecture 2 SWS Exercise Independent work: Follow-up study, working on exercises 180 h = 56 h attendance time + 124 h independent work",6 CP,,"Linear Algebra, Analysis","You have an overview of basic problems and methods in parameter and state estimation for mobile systems.You understand how to develop kinematic models for mobile robots and how to derive discrete-time prediction models.You are familiar with the required mathematical tools and can derive and apply least-squares methods for localization and tracking of mobile systems, e.g., based on distance measurements.You have a good understanding of Kalman filtering and its nonlinear generalizations for dynamic state estimation and localization of mobile systems.","Kinematics, System Models, and Dead Reckoning for Mobile SystemsSensor Models and Optimization Methods for Localization and TrackingDynamic State Estimation for Real-Time Localization and TrackingLinear Kalman Filtering and Nonlinear Generalizations",Oral examination,"Digital Notes, Exercise Sheets",Literature will be announced in the lecture
Ethische Herausforderungen im Digitalen Zeitalter,Ethical challenges in the digital era,FIN,,,,,,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester,Wintersemester,"Dr. Karl Teille, Volkswagen AutoUni, Leiter des Instituts für Infor-matik","Dr. Karl Teille, Volkswagen AutoUni, Leiter des Instituts für Infor-matik",deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik Schlüssel- und Methodenkompetenzen – Wissenschaftliches Seminar,Vorlesung,Vorlesung,3,,"Gute Kenntnis mind. einer Programmiersprache, VL Betriebssysteme, Bereitschaft zum interdisziplinären Arbeiten",Ethik als philosophische Disziplin erkennenFragestellungen der Ethik einordnen können Aspekte der Digitalisierung als ethische Herausforderung begreifen,"Definition von Ethik Deskriptive Ethik Begründung von Ethik Teleologische Ethik Deontologische Ethik Chancen der Digitalisierung Schranken der kommerziellen Verwertbarkeit von Daten Ethische Herausforderung im Umgang mit persönlichen Daten / Metadaten Erweiterung des Realitätsbegriffes Künstliche Intelligenz und Technologische Singularität Anwendungsgebiete der Digitalisierung VertriebMobilität (Autonomes Fahren; Smart Cars)Autonome Entscheidungen von MaschinenIntelligente, Vernetzte Produktion, Industrie 4.0Autonome Kriegsführung",mündliche Prüfung,,"Baumgartner, C.: Die Digitalisierung findet statt. Interview mit August-Wilhelm Scheer. In Computerwelt, 2015, 2015; S. 4. Brantl, S. : Wirtschaftsethik. Beitrag in Gabler Wirtschafts-Lexikon. Gabler, Wiesbaden, 1988. Bundesverfassungsgericht, vom 15.12. 1983, Aktenzeichen 1 BvR 209, 269, 362, 420, 440, 484/83, „Volkszählungsurteil“, zitiert nach [Fili15, S.10] Filipovic, A.: Die Datafizierung der Welt – Eine ethische Vermessung des digitalen Wandels. Communicatio Socialis, 48 Jg. 2015, H.1 Frey, C. B.; Osborne, M.: Technology at Work - The future of innovation and employment. In Citi GPS: Global Perspectives & Solutions, 2015. Hausmanninger, Th./ Capurro, R. (2002): Eine Schriftenreihe stellt sich vor. In Hausmanninger, Th./ Capurro, R. (Hg.): Netzethik. Grundlegungsfragen der Internetethik. München, S.7-12; zitiert nach [Fili15, S. 7] Kurz, C.; Rieger, F.: Arbeitsfrei. Eine Entdeckungsreise zu den Maschinen, die uns ersetzen. Goldmann Verlag, München, 2015. ohne Verfasser: Spielend auf dem Highway. Autonomes Fahren ist das große Thema der Autokonzerne. In ADAC Motorwelt, 2015; S. 10. Reitz, M.: Norbert Wiener – Begründer der Kybernetik. SWR2 Wissen, 17. März 2014 Schwägerl, C.: Offline ist so vorbei. Das Internet kommt uns noch näher. In Zeit online, 03.05.2015. Simanowski, R.: Data Love. Matthes & Seitz, Berlin, 2014. Vack, P.: Self-Drive Cars and You: A History Longer than You Think. VeloceToday.com - The Online Magazine for Italian and French Classic Car Enthusiasts. http://www.velocetoday.com/self-drive-cars-and-you-a-history-longer-than-you-think/, 03.05.2015. Watzlawick, P.: Wie wirklich ist die Wirklichkeit? Wahn, Täuschung, Verstehen. Piper, München, Zürich, 2005. Zeit Online GmbH: Forschungsprojekt: Das 1-Milliarde-Euro-Hirn. http://www.zeit.de/2011/21/Kuenstliches-Gehirn, 08.05.2015."
Evolutionäre Algorithmen,Evolutionäre Algorithmen,FIN,,,EA,,,B.Sc. ab 3. Semester,,Intelligente Systeme,Prof. Dr.-Ing. Sanaz Mostaghim,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INF - Studienprofil - Computer Games FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden,Vorlesung; Übung,Präsenzzeit: 2 SWS Vorlesung 2 SWS Übungen Selbstständige Arbeit: Bearbeiten von Übungs- und Programmieraufgaben 150 h = 56 h Präsenzzeit + 94 h selbstständige Arbeit,5,,"P   rogrammiersprache Java o.ä. Algorithmen und Datenstrukturen Programmierung, Modellierung Mathematik I bis IV",Anwendung von adäquaten Modellierungstechniken zum Entwurf von Evolutionären AlgorithmenAnwendung der Methoden der Numerischen Optimierung zur Problemlösung Bewertung und Anwendung evolutionärer Programmierung zur Analyse komplexer Systeme Befähigung zur Entwicklung von Evolutionären Algorithmen ,"kurze Einführung in biologische Grundlagen der Evolution und GenetikAusgestaltung genetischer Operatoren (z.B. Selektion, Kreuzung, Rekombination, Mutation) Überblick über verschiedene Arten genetischer und evolutionärer Algorithmen und genetischer Programmierung Erläuterung von Vor- und Nachteilen dieser Algorithmen anhand von Beispielen Behandlung verwandter Verfahren (z.B. simuliertes Ausglühen) Anwendungsbeispiele","P   rüfung in schriftlicher Form, Umfang: 120 Min. Benötigte Vorleistungen: Bearbeitung von mindestens zwei Drittel aller Übungsaufgaben im Semester Erfolgreiche Präsentation von zwei Übungsaufgaben Schein, benötigte Vorleistungen: Erfolgreiche Bearbeitung einer Programmieraufgabe zum Thema der Vorlesung (Arbeit in Gruppen mit ein oder zwei Studierenden) inklusive Entwurf, Implementation, Test, Dokumentation und Übergabe, z.B. EA zur Lösung eines Brett- oder Kartenspiels Erfolgreiche Teilnahme an der Prüfung (für einen nichtbenoteten Schein muss mindestens die Note 4 erreicht werden) Unabhängig von der Art der Studien-/Prüfungsleistung wird eine regelmäßige und aktive Teilnahme an Vorlesung und Übung vorausgesetzt.",,"Richard Dawkins. The Selfish Gene. Oxford University Press, Oxford, UK, 1990. (deutsche Ausgabe: „Das egoistische Gen“. Rowohlt, Hamburg, 1996)Richard Dawkins. The Blind Watchmaker. Penguin Books, London, UK, 1996. (deutsche Ausgabe: „Der blinde Uhrmacher“. dtv, München, 1996) Ines Gerdes, Frank Klawonn, Rudolf Kruse. Evolutionäre Al-gorithmen. Vieweg Verlag, Wiesbaden, 2004. Zbigniew Michalewic. Genetic Algorithms + Data Structures = Evolution Programs. Springer Verlag, Berlin, 1998. Volker Nissen. Einführung in evolutionäre Algorithmen. Opti-mierung nach dem Vorbild der Evolution. Vieweg Verlag, Braunschweig / Wiesbaden, 1997."
Evolutionary Multi-Objective Optimization,Evolutionary Multi-Objective Optimization,FIN,,,EMO,,,M.Sc. ab 1. Semester,Sommersemester,Lehrstuhl für Computational Intelligence,Prof. Dr.-Ing. Sanaz Mostaghim,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Präsenzzeit: - 2 SWS Vorlesung - 2 SWS Übungen Selbstständige Arbeit: - Bearbeiten von Übungsaufgaben,6 Kreditpunkte für Master Studenten = 180 h = 56 h Präsenzzeit + 124 h selbstständige Arbeit,,"Intelligente Systeme, Optimierungsalgorithmen, Grundlage der evolutionären Algorithmen",- Anwendung der Methoden der Computational Intelligence zur Problemlösung in multi-kriterieller Optimierung - Befähigung zur Entwicklung der Algorithmen - Fundiertes Wissen im Bereich der multi-kriteriellen Optimierung,"In our daily lives we are inevitably involved in optimization. How to get to the university in the least time is a simple optimization problem that we encounter every morning. Just looking around ourselves we can see many examples of optimization problems even with conflicting objectives and higher complexities. It is natural to want everything to be as good as possible, in other words optimal. The difficulty arises when there are conflicts between different goals and objectives. Indeed, there are many real-world optimization problems with multiple conflicting objectives in science and industry, which are of great complexity. We call them Multi-objective Optimization Problems. Over the past decade, lots of new ideas have been investigated and studied to solve such optimization problems as any new development in optimization which can lead to a better solution of a particular problem is of considerable value to science and industry. Among these methods, evolutionary algorithms are shown to be quite successful and have been applied to many applications. This course addresses the basic and advanced topics in the area of evolutionary multi-objective optimization and contains the following content: • Introduction to single-objective optimization (SO) and multiobjective optimization (MO), classical methods for solving MO, definitions of Pareto-optimality and other theoretical foundations for MO • Basics of evolutionary algorithms (algorithms, operators, selection mechanisms, coding and representations) • Evolutionary multi-objective algorithms (NSGA-II, EMO scalarization methods such as MOEA/D) • Large-scale EMO: large scale decision space and many objective optimization (such as NSGA-III) • Constraint handling in SO and MO, robust optimization in EMO, surrogate methods for expensive function evaluations • Dynamic EMO • Evaluation mechanisms (Design of experiments, test problems, metrics, visualization)","Zum Bestehen der Prüfung oder zum Erwerb eines Scheins sind folgende Leistungen zu erbringen: - Regelmäßige Teilnahme und Mitarbeit in Vorlesung und Übung- Erwerb der Zulassungsvoraussetzungen zur Klausur - Bestehen der schriftlichen Prüfung, 120 Min. Die  Zulassungsvoraussetzungen können aus verschiedenen Elementen bestehen,  bspw. dem Lösen und Präsentieren von Übungsaufgaben oder dem Bestehen  einer Zwischenklausur im Semester. Die  genauen Zulassungsvoraussetzungen werden zum Anfang der Vorlesung,  spätestens bis zum Ende der dritten Vorlesungswoche, auf der Webseite  des Lehrstuhls bekannt gegeben.",,"- Deb, Kalyanmoy. Multi-Objective Optimization Using Evolutionary Algorithms, Wiley, 2001. - Coello, Carlos A. Coello, Gary B. Lamont, and David A. Van Veldhuizen. Evolutionary algorithms for solving multi-objective problems. Vol. 5. New York: Springer, 2007. - Miettinen, Kaisa. Nonlinear multiobjective optimization. Vol. 12. Springer Science & Business Media, 2012. - Ehrgott, Matthias. Multicriteria optimization. Vol. 491. Springer Science & Business Media, 2005. - Kruse, Rudolf, et al. Computational intelligence: a methodological introduction. Springer, 2016."
